/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 15.13M (codec d=384, frozen=True)
step   10650 | cos 0.5451 | thought 0.9255 dec_ce 1.8513 | 5.4 it/s
step   10700 | cos 0.5464 | thought 0.8723 dec_ce 1.8574 | 5.4 it/s
step   10750 | cos 0.5451 | thought 0.9478 dec_ce 2.0456 | 5.4 it/s
step   10800 | cos 0.5446 | thought 0.8604 dec_ce 1.85 | 5.4 it/s
step   10850 | cos 0.5481 | thought 0.9405 dec_ce 1.9918 | 5.6 it/s
step   10900 | cos 0.5485 | thought 0.8775 dec_ce 1.8985 | 5.5 it/s
step   10950 | cos 0.5444 | thought 0.9252 dec_ce 2.0678 | 5.5 it/s
step   11000 | cos 0.5499 | thought 0.9141 dec_ce 1.994 | 5.6 it/s
step   11050 | cos 0.5468 | thought 0.9041 dec_ce 1.9876 | 5.4 it/s
step   11100 | cos 0.5497 | thought 0.9171 dec_ce 1.9245 | 5.7 it/s
step   11150 | cos 0.5488 | thought 0.8442 dec_ce 1.8062 | 5.6 it/s
step   11200 | cos 0.5471 | thought 0.9268 dec_ce 1.9194 | 5.6 it/s
step   11250 | cos 0.5510 | thought 0.8978 dec_ce 2.0601 | 5.6 it/s
step   11300 | cos 0.5469 | thought 0.9872 dec_ce 2.0815 | 5.5 it/s
step   11350 | cos 0.5485 | thought 0.9212 dec_ce 1.9468 | 5.3 it/s
step   11400 | cos 0.5483 | thought 0.9408 dec_ce 1.984 | 5.6 it/s
step   11450 | cos 0.5466 | thought 0.9179 dec_ce 2.0048 | 5.5 it/s
step   11500 | cos 0.5509 | thought 0.9182 dec_ce 1.9092 | 5.6 it/s
step   11550 | cos 0.5466 | thought 0.9483 dec_ce 1.9851 | 5.3 it/s
step   11600 | cos 0.5507 | thought 0.9137 dec_ce 2.0019 | 5.6 it/s
step   11650 | cos 0.5433 | thought 0.9407 dec_ce 1.9109 | 5.5 it/s
step   11700 | cos 0.5455 | thought 0.8849 dec_ce 1.8927 | 5.6 it/s
step   11750 | cos 0.5493 | thought 0.9454 dec_ce 2.0326 | 5.5 it/s
step   11800 | cos 0.5460 | thought 0.935 dec_ce 2.0404 | 5.5 it/s
step   11850 | cos 0.5499 | thought 0.9122 dec_ce 1.995 | 5.6 it/s
step   11900 | cos 0.5508 | thought 0.9095 dec_ce 1.9646 | 5.6 it/s
step   11950 | cos 0.5477 | thought 0.9037 dec_ce 1.976 | 5.5 it/s
step   12000 | cos 0.5449 | thought 0.9391 dec_ce 2.0737 | 5.5 it/s
step   12000 | VAL cos 0.5497 | VAL dec CE 3.7285
step   12050 | cos 0.5515 | thought 0.8996 dec_ce 1.8974 | 4.4 it/s
step   12100 | cos 0.5483 | thought 0.9011 dec_ce 1.9886 | 5.6 it/s
step   12150 | cos 0.5516 | thought 0.9479 dec_ce 1.9988 | 5.5 it/s
step   12200 | cos 0.5482 | thought 0.8707 dec_ce 1.8669 | 5.6 it/s
step   12250 | cos 0.5489 | thought 0.8744 dec_ce 1.8315 | 5.5 it/s
step   12300 | cos 0.5449 | thought 0.9568 dec_ce 2.0651 | 5.4 it/s
step   12350 | cos 0.5510 | thought 0.9065 dec_ce 1.903 | 5.6 it/s
step   12400 | cos 0.5490 | thought 0.9706 dec_ce 1.9881 | 5.5 it/s
step   12450 | cos 0.5505 | thought 0.9141 dec_ce 1.9917 | 5.7 it/s
step   12500 | cos 0.5486 | thought 0.9315 dec_ce 1.9799 | 5.6 it/s
step   12550 | cos 0.5470 | thought 0.9002 dec_ce 1.9474 | 5.4 it/s
step   12600 | cos 0.5503 | thought 0.9179 dec_ce 1.9568 | 5.6 it/s
